,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,tags,counts_rv_eng,all_time_peak,24h_peak
307,531640,Eternal Card Game,Dire Wolf,Dire Wolf,,5018,1410,0,"500,000 .. 1,000,000",1383,0,94,0,0,0,0,262,"['Free to Play', 'Card Game', 'Card Battler', 'Strategy', 'Deckbuilding', 'Casual', 'Massively Multiplayer', 'Trading Card Game', 'Multiplayer', 'Singleplayer', 'Early Access', 'Turn-Based', 'Fantasy', 'PvP']",4371,2855,294
308,636040,Pixel Worlds: MMO Sandbox,Kukouri Mobile Entertainment,Kukouri Mobile Entertainment,,3812,1285,0,"500,000 .. 1,000,000",309,0,31,0,0,0,0,430,"['Free to Play', 'Massively Multiplayer', 'Sandbox', 'Pixel Graphics', 'Adventure', 'Multiplayer', 'Indie', '2D', 'Platformer', 'Crafting', 'Open World', 'Action', 'MMORPG', 'Co-op', 'Funny', 'Family Friendly', 'Building', 'Singleplayer', 'Controller', 'Nudity']",2389,1387,372
309,1104640,New Frontier,Free Reign Entertainment,Free Reign Entertainment,,1858,1891,0,"500,000 .. 1,000,000",102,0,41,0,0,0,0,0,"['Free to Play', 'Survival', 'Multiplayer', 'Open World', 'Western', 'Massively Multiplayer', 'RPG', 'Base Building', 'Indie', 'Violent', 'Crafting', 'Gore', 'PvP', 'Building', 'Singleplayer', 'Shooter', 'Action', 'FPS', 'Third-Person Shooter', 'Early Access']",1813,921,1
310,1189630,Path Of Wuxia,香港商河洛互動娛樂股份有限公司,香港商河洛互動娛樂股份有限公司,,22575,5713,0,"500,000 .. 1,000,000",1493,1120,1058,1201,3499,3499,0,650,"['RPG', 'Indie', 'Martial Arts', 'Turn-Based', 'Early Access', 'Female Protagonist', 'Turn-Based Combat', 'Anime', 'Time Management', 'Choices Matter', 'Dating Sim', 'Simulation', 'Character Customization', 'Story Rich']",625,16041,589
311,1104450,Bombergrounds: Battle Royale,Gigantic Duck Games,Gigantic Duck Games,,6217,587,0,"500,000 .. 1,000,000",0,0,0,0,0,0,0,28,"['Multiplayer', 'Battle Royale', 'Funny', 'Family Friendly', 'Online Co-Op', 'Cute', 'Arcade', 'Massively Multiplayer', 'Casual', 'Comedy', 'PvP', 'Action', 'Co-op', 'Controller', 'Character Customization', 'Free to Play', 'Early Access', 'Retro', 'Top-Down', 'Colorful']",3524,1869,33
312,263540,Villagers and Heroes,Mad Otter Games,Mad Otter Games,,1915,1285,0,"500,000 .. 1,000,000",310,0,149,0,0,0,0,43,"['Free to Play', 'Massively Multiplayer', 'RPG', 'Open World', 'Multiplayer', 'Indie', 'Adventure', 'MMORPG', 'Crafting', 'Sandbox', 'Fantasy', 'Survival', 'Co-op', 'Medieval', 'Action', 'Magic', 'Funny', 'Casual', 'FPS', 'Shooter']",1659,2898,49
313,17740,Empires Mod,Empires,Empires,,823,138,0,"500,000 .. 1,000,000",254,0,508,0,0,0,0,36,"['FPS', 'RTS', 'PvP', 'Shooter', 'Strategy', 'Base Building', 'First-Person', 'Action RTS', 'Top-Down', '3D', 'Tanks', 'Team-Based', 'Vehicular Combat', 'Action', 'Economy', 'Class-Based', 'Resource Management', 'Combat', 'Multiplayer', 'Free to Play']",646,88,0
314,91200,Anomaly: Warzone Earth,11 bit studios,11 bit studios,,3638,551,0,"500,000 .. 1,000,000",223,0,125,0,999,999,0,55,"['Strategy', 'Indie', 'Tower Defense', 'Action', 'Sci-fi', 'Singleplayer', 'Touch-Friendly', 'RTS', 'Top-Down', 'Aliens', 'Difficult', 'Arcade']",1641,1793,70
315,20530,Red Faction,Volition,Deep Silver,,1954,283,0,"500,000 .. 1,000,000",111,0,99,0,999,999,0,6,"['Action', 'FPS', 'Destruction', 'Sci-fi', 'Mars', 'Classic', 'Singleplayer', 'Shooter', 'First-Person', 'Multiplayer', 'Great Soundtrack', 'Adventure', 'Atmospheric']",1459,326,10
316,225420,Cities in Motion 2,Colossal Order Ltd.,Paradox Interactive,,1356,1020,0,"500,000 .. 1,000,000",230,0,88,0,1999,1999,0,36,"['Simulation', 'Strategy', 'Transportation', 'Management', 'City Builder', 'Sandbox', 'Economy', 'Building', 'Singleplayer', 'Trains', 'Multiplayer', 'Co-op']",1218,1736,37
